,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
168,18918,La La Land,2016-12-09,LGF.A,"Music, Romance, Comedy, Drama",f4df3b13d642484d25db3c7b0edd9bac,twitter,search_term,t,101,7769,"['Music', 'Romance', 'Comedy', 'Drama']",Music,2016,6,20000000.0,Lionsgate,PG-13,Original,No,151101803,Family,-0.6541434936993668,MediumBudget,0.10957103071121853,2,19,Top100,9
169,121667,Late Night,2019-06-07,,"Comedy, Drama",ef91c426321aa2c5f61ccef34e50dd94,instagram,page,t,101,7769,"['Comedy', 'Drama']",Comedy,2019,9,4000000.0,Amazon Studios,R,Original,No,15500045,Comedy,-0.9014250191233392,LowBudget,-0.6095402352647268,4,482,Top100+,3
170,60945,The Smurfs 2,2013-07-31,,"Family, Animation, Comedy",97f8970ccf303a621fc3f131a9f95045,facebook,search_term,t,101,7769,"['Family', 'Animation', 'Comedy']",Family,2013,3,110000000.0,Sony Pictures,PG,Not Original,Yes,71017784,Family,0.766522993001296,HighBudget,-0.30085392498606306,1,193,Top100+,4
171,22696,Ouija: Origin of Evil,2016-10-21,CMCSA,"Horror, Thriller",313a8cf8abb31b1e423e6f8d0b12854f,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,2016,6,9000000.0,Universal Pictures,PG-13,Not Original,Yes,35144505,Horror,-0.8215869992278012,MediumBudget,-0.5010904879851351,2,3,Top5,7
172,105165,Active Measures,2018-08-31,,Documentary,04d1f5ce05c8288ece316e1d871eb33b,facebook,page,t,101,7769,['Documentary'],Documentary,2018,8,0.0,Super Ltd,PG-13,Not Original,No,19862,Documentary,-0.9585862309718284,LowBudget,-0.6860706862374341,3,7645,Top100+,0
173,131176,Ford v. Ferrari,2019-11-15,FOXA,"Biography, Drama, Action",500dacbc167bc5ebc331d017d8804f79,twitter,search_term,t,101,7769,"['Biography', 'Drama', 'Action']",Biography,2019,9,97600000.0,20th Century Fox,PG-13,Not Original,No,117624357,Documentary,0.4361473381313088,HighBudget,-0.10464947376544977,4,7,Top100,0
174,42071,Get Out,2017-02-24,CMCSA,Horror,bbae9db88f13ca19d5da17ea57ca300c,facebook,search_term,t,101,7769,['Horror'],Horror,2017,7,5000000.0,Universal Pictures,R,Original,No,176040665,Horror,-0.8840629739547271,LowBudget,0.22156974424688647,3,3,Top5,3
175,60579,The Apparition,2012-08-24,,"Thriller, Horror",38b0db047929446248ccddded1f02394,twitter,search_term,t,101,7769,"['Thriller', 'Horror']",Thriller,2012,2,17000000.0,Warner Bros.,PG-13,Original,No,4936819,Thriller,-0.6880730839192604,MediumBudget,-0.6589929108529481,1,1,Top5,9
176,76281,Creed II,2018-11-21,,"Sport, Drama",299f441fd05497ae8be40928c564f670,facebook,search_term,t,101,7769,"['Sport', 'Drama']",Sport,2018,8,50000000.0,Metro-Goldwyn-Mayer Pictures,PG-13,Original,Yes,115715889,Documentary,-0.23112256732860711,HighBudget,-0.10371731925156276,3,20,Top100,8
177,60699,Cloud Atlas,2012-10-26,T,"Mystery, Drama, Sci Fi",098d331ccacd1dfe6c285bf8f6c0c38e,twitter,search_term,t,101,7769,"['Mystery', 'Drama', 'Sci Fi']",Mystery,2012,2,102000000.0,Warner Bros.,R,Not Original,No,27108272,Thriller,0.6644926517722888,HighBudget,-0.5369365393296589,1,1,Top5,5
178,13008,Batman v. Superman: Dawn of Justice,2016-03-25,T,"Adventure, Action, Fantasy",7e24c2bfcf72aa2f38fb0b80e78dc819,twitter,search_term,t,101,7769,"['Adventure', 'Action', 'Fantasy']",Adventure,2016,6,263000000.0,Warner Bros.,PG-13,Not Original,Yes,872700000,Adventure,3.0448357635322694,HighBudget,3.909696236069071,2,1,Top5,7
179,52917,Atomic Blonde,2017-07-28,CMCSA,"Thriller, Action, Mystery",20ec5cea4611a4707920d4ae1137c6b3,instagram,page,t,101,7769,"['Thriller', 'Action', 'Mystery']",Thriller,2017,7,30000000.0,Focus Features,R,Not Original,No,51573925,Thriller,-0.5114466892979295,MediumBudget,-0.4202336085464649,3,81,Top100,5
180,80475,Dolittle,2020-01-17,CMCSA,"Family, Fantasy, Comedy",81096a34fb81ed683fa1630c7c518086,twitter,search_term,t,101,7769,"['Family', 'Fantasy', 'Comedy']",Family,2020,10,175000000.0,Universal Pictures,PG,Not Original,No,77047065,Family,1.5422167873995754,HighBudget,-0.3052589021791121,5,3,Top5,1
181,51072,Incredibles 2,2018-06-15,DIS,"Adventure, Animation, Action",98e4212f8c7c72bd94471c33b1521450,twitter,handle,t,101,7769,"['Adventure', 'Animation', 'Action']",Adventure,2018,8,200000000.0,Walt Disney Pictures,PG,Original,Yes,608581744,Adventure,1.9512684234581537,HighBudget,2.3771119500683593,3,4,Top5,6
182,71495,Suspiria,2018-10-26,AMZN,"Horror, Fantasy, Mystery",cab4c015f77e3b12500e0a5c0f8fc6a1,facebook,search_term,t,101,7769,"['Horror', 'Fantasy', 'Mystery']",Horror,2018,8,20000000.0,Amazon Studios,R,Not Original,No,2483472,Horror,-0.6676007654573788,MediumBudget,-0.6736701603386837,3,482,Top100+,5
183,20428,The Shallows,2016-06-24,,"Drama, Horror, Thriller",67c359d5a681e6d3ca28208b51f0991d,twitter,handle,t,101,7769,"['Drama', 'Horror', 'Thriller']",Drama,2016,6,13000000.0,Sony Pictures,PG-13,Original,No,55121623,Drama,-0.7606984518018896,MediumBudget,-0.39588574945294236,2,193,Top100+,9
184,60931,Grown Ups 2,2013-07-12,,Comedy,31d2ffe867dca0a96c2bb8fdc43c5ee4,twitter,search_term,t,101,7769,['Comedy'],Comedy,2013,3,80000000.0,Sony Pictures,PG-13,Original,Yes,133668525,Comedy,0.2960386592164262,HighBudget,0.039066270803477486,1,193,Top100+,8
185,29430,Absolutely Fabulous: The Movie,2016-07-22,FOXA,Comedy,e0883fb62f98bf4ac7d75f7d22e3e42e,instagram,page,t,101,7769,['Comedy'],Comedy,2016,6,0.0,Fox Searchlight Pictures,R,Not Original,No,37900000,Comedy,-0.9585862309718284,LowBudget,-0.4865793292248071,2,79,Top100,5
